author,sentiment
LYerton,NEUTRAL
jeanbo826,NEUTRAL
JakeKaney,NEUTRAL
Myannazuos,NEUTRAL
ValerieOMcVey,NEUTRAL
UrbnHandicapper,NEUTRAL
LYerton,NEUTRAL
JakeKaney,NEUTRAL
UberZona,NEUTRAL
Myannazuos,NEUTRAL
divasocials,NEGATIVE
Rolling_stone4,NEUTRAL
Myannazuos,NEUTRAL
Myannazuos,NEGATIVE
Myannazuos,NEUTRAL
mstone22,NEUTRAL
Myannazuos,NEUTRAL
Myannazuos,NEUTRAL
Myannazuos,NEUTRAL
DJturnedJD,NEGATIVE
DJturnedJD,POSITIVE
JoshuaSaulter1,NEUTRAL
RatedRuwan,NEUTRAL
RatedRuwan,NEUTRAL
b0rken,NEUTRAL
RatedRuwan,NEUTRAL
wrap02,NEUTRAL
gcmitts,NEUTRAL
b0rken,NEUTRAL
00Sandwich,NEUTRAL
lexrunssouth,NEUTRAL
Simplysdm,NEUTRAL
Yeow777,NEUTRAL
b0rken,NEUTRAL
Yeow777,NEUTRAL
AndeCarlomusto,NEUTRAL
TracysTMI,NEUTRAL
Kate0124SC,NEUTRAL
stucky980,NEUTRAL
Yeow777,NEUTRAL
Yeow777,NEUTRAL
DerangedBoy,NEUTRAL
b0rken,NEUTRAL
fasulo_chris,NEUTRAL
kris10stl,NEGATIVE
Heturion,NEUTRAL
fasulo_chris,NEUTRAL
b0rken,NEUTRAL
b0rken,NEUTRAL
StrikeSpectrum,NEUTRAL
rpwilliams75,NEUTRAL
pabdavis,NEUTRAL
Red13Rum,NEUTRAL
b0rken,NEUTRAL
cetinsley,NEUTRAL
b0rken,NEUTRAL
KingGadomski,NEUTRAL
dustinfitch,NEUTRAL
kris10stl,NEUTRAL
cetinsley,NEUTRAL
cetinsley,NEUTRAL
b0rken,NEUTRAL
ZombiePossum,NEUTRAL
pental0l,NEUTRAL
Venerated_NV,NEUTRAL
BigHeadTales,NEUTRAL
_Stefunnyyy,NEGATIVE
__dotblake,NEGATIVE
BryanMunson89,NEUTRAL
_Stefunnyyy,NEUTRAL
Venerated_NV,NEUTRAL
beatcop49,NEUTRAL
E025126,NEUTRAL
Grimreaperdevil,NEUTRAL
Painkilur,NEUTRAL
alejandro8113,NEUTRAL
DJLilShawn,NEUTRAL
chaotic_kimmy,NEUTRAL
DJLilShawn,NEUTRAL
anshulvermaus,NEUTRAL
DeborahMathers,NEUTRAL
FatMatt56436414,NEUTRAL
ameurer14,POSITIVE
Tswope12,NEUTRAL
VerminCockwolf,NEUTRAL
WeaselVin,NEUTRAL
DMor315,NEUTRAL
bjcoover,NEUTRAL
TBSteezy_,NEUTRAL
KnownAsCloud,NEUTRAL
RFOG_XjoshhyX,NEUTRAL
alejandro8113,NEUTRAL
JSSEC,NEUTRAL
wishbonerod,NEGATIVE
Shroudscare,NEUTRAL
JSSEC,NEUTRAL
BKIND1964,NEUTRAL
eyeSOhateTWTRR,NEUTRAL
BKIND1964,NEUTRAL
BKIND1964,NEUTRAL
BKIND1964,NEUTRAL
Beachen8083,NEUTRAL
alejandro8113,NEGATIVE
X3R0102,NEUTRAL
Workmann34,NEUTRAL
KozaKody,NEUTRAL
X3R0102,NEUTRAL
Evamm0423,NEGATIVE
Jander513,NEGATIVE
pj96022,NEUTRAL
jiacastor,NEGATIVE
_parkerjl,NEUTRAL
Beachen8083,NEUTRAL
_KTthomas,NEGATIVE
GAKunkel,NEUTRAL
AeonHale,POSITIVE
BigHeadTales,NEGATIVE
vmike62,NEUTRAL
rettocmot,POSITIVE
KingLouieKai2,NEUTRAL
thecarolinamama,NEUTRAL
PowerbangGaming,NEUTRAL
marcrafaelprod,NEUTRAL
radcliffe_ed,NEUTRAL
WoodyWoodcaster,NEUTRAL
WoodyWoodcaster,NEUTRAL
BBruins_Fan,NEGATIVE
LagDads,NEUTRAL
Ask_Spectrum,NEUTRAL
Zach_McClurg,NEGATIVE
NachoLatina,POSITIVE
fastlanemusic,NEUTRAL
NachoLatina,NEUTRAL
jeffreybarry,NEUTRAL
PJVance5,NEUTRAL
xSquints727x,NEUTRAL
letgolocal3,NEUTRAL
CMob765,NEGATIVE
pdr4str,POSITIVE
cybilt,NEUTRAL
jeffreybarry,POSITIVE
SpectrumCustom1,NEUTRAL
SpectrumCustom1,NEUTRAL
mjsteelega,NEUTRAL
radcliffe_ed,NEUTRAL
JasonBXNY0619,NEUTRAL
sott3,NEUTRAL
carnestm,NEUTRAL
NotSoUltraCapo,NEUTRAL
CrossVGaming,NEUTRAL
WoodyWoodcaster,NEUTRAL
fasulo_chris,NEUTRAL
Zach_McClurg,NEUTRAL
fasulo_chris,NEUTRAL
fasulo_chris,NEUTRAL
carnestm,NEUTRAL
Zach_McClurg,NEUTRAL
carnestm,NEUTRAL
NotSoUltraCapo,NEUTRAL
glengeraghty4,NEUTRAL
glengeraghty4,NEUTRAL
glengeraghty4,NEUTRAL
SAOCOFILMS,NEUTRAL
glengeraghty4,NEUTRAL
glengeraghty4,NEUTRAL
BKIND1964,NEUTRAL
highonthehogs1,NEUTRAL
BKIND1964,NEUTRAL
Zach_McClurg,NEUTRAL
MrPaulZeen,NEUTRAL
fasulo_chris,NEGATIVE
NickVanExit,NEUTRAL
alamb91,NEUTRAL
ChabbyPeacock,NEGATIVE
glengeraghty4,NEUTRAL
ChabbyPeacock,NEUTRAL
glengeraghty4,NEGATIVE
AverySchwab,NEUTRAL
sarahkapoor,NEUTRAL
skeltonh,NEGATIVE
skeltonh,NEGATIVE
TJP710,NEUTRAL
kevinwisor,NEUTRAL
CarolinaFroggg,NEUTRAL
Workmann34,NEUTRAL
VintageCharmd,POSITIVE
szaborocks,NEUTRAL
MickLite7,NEUTRAL
GabiPurri,NEUTRAL
DarthMalice95,NEGATIVE
kimb_thatsme,NEGATIVE
Punished_Kaz,NEUTRAL
juliebartz,NEGATIVE
alyfromuk2us,NEGATIVE
OliveGrummer,NEUTRAL
Casteezy513,NEGATIVE
spookislut,NEUTRAL
lunaticial,NEUTRAL
WaterHobbit,NEUTRAL
Nail_209,NEUTRAL
billfike,NEUTRAL
chickenscottpie,NEUTRAL
notyonany70,NEUTRAL
brian11666017,NEUTRAL
leekingjr,NEUTRAL
sportsfan702,NEUTRAL
callmewillc,NEUTRAL
E025126,NEUTRAL
LikeMike131,NEUTRAL
MrPaulZeen,NEUTRAL
beatcop49,NEUTRAL
PetePetedabeat,NEUTRAL
FatMatt56436414,NEUTRAL
aimster_17,NEUTRAL
MrPaulZeen,NEUTRAL
SugarbabyinTX,POSITIVE
vmike62,NEUTRAL
vmike62,NEUTRAL
Kirova_BM,NEUTRAL
MatthewMccain18,NEGATIVE
kalenrawse,POSITIVE
stucky980,NEUTRAL
Johna1435,POSITIVE
fasulo_chris,NEGATIVE
stucky980,NEGATIVE
donnieKL,NEUTRAL
stucky980,NEUTRAL
HolyfieldThe,NEUTRAL
stucky980,NEGATIVE
stucky980,NEUTRAL
stucky980,NEUTRAL
